"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"BUSS32-hba32011-Weekday-02",1,1,1,1,1,0,0,"20120813","20120831"
"BUSS42-hba42011-Weekday-02",1,1,1,1,1,0,0,"20120904","20121221"
"BUSS42-hba42ns1-Weekday-02",1,1,1,1,1,0,0,"20121112","20121228"
"BUSS32-hbb32011-Weekday-02",1,1,1,1,1,0,0,"20120813","20120831"
"BUSS32-hbb32026-Saturday-02",0,0,0,0,0,1,0,"20120818","20120825"
"BUSS32-hbb32017-Sunday-02",0,0,0,0,0,0,1,"20120819","20120826"
"BUSS42-hbb42016-Saturday-02",0,0,0,0,0,1,0,"20120901","20121222"
"BUSS42-hbb42017-Sunday-02",0,0,0,0,0,0,1,"20120902","20121223"
"BUSS42-hbb42hl7-Sunday-02",0,0,0,0,0,0,1,"20120903","20121225"
"BUSS42-hbb42011-Weekday-02",1,1,1,1,1,0,0,"20120904","20121221"
"BUSS42-hbb42hl6-Saturday-02",0,0,0,0,0,1,0,"20121008","20121008"
"BUSS42-hbb42ns1-Weekday-02",1,1,1,1,1,0,0,"20121112","20121228"
"BUSN32-htt32011-Weekday-02",1,1,1,1,1,0,0,"20120813","20120831"
"BUSN32-htt32016-Saturday-02",0,0,0,0,0,1,0,"20120818","20120825"
"BUSN42-htt42016-Saturday-02",0,0,0,0,0,1,0,"20120901","20121222"
"BUSN42-htt42011-Weekday-02",1,1,1,1,1,0,0,"20120904","20121221"
"BUSN42-htt42hl6-Saturday-02",0,0,0,0,0,1,0,"20121008","20121008"
"BUSN42-htt42ns1-Weekday-02",1,1,1,1,1,0,0,"20121112","20121228"
"RTL312-hmb32011-Weekday-01",1,1,1,1,1,0,0,"20120813","20120831"
"RTL312-hmb32016-Saturday-01",0,0,0,0,0,1,0,"20120818","20120825"
"RTL312-hmb32017-Sunday-01",0,0,0,0,0,0,1,"20120819","20120826"
"RTL412-hmb42016-Saturday-01",0,0,0,0,0,1,0,"20120901","20121222"
"RTL412-hmb42017-Sunday-01",0,0,0,0,0,0,1,"20120902","20121223"
"RTL412-hmb42lb7-Sunday-01",0,0,0,0,0,0,1,"20120903","20120903"
"RTL412-hmb42011-Weekday-01",1,1,1,1,1,0,0,"20120904","20121228"
"RTL412-hmb42cl6-Saturday-01",0,0,0,0,0,1,0,"20121008","20121008"
"RTL412-hmb42vt1-Weekday-01",1,1,1,1,1,0,0,"20121112","20121112"
"RTL412-hmb42th7-Sunday-01",0,0,0,0,0,0,1,"20121122","20121122"
"RTL412-hmb42xm7-Sunday-01",0,0,0,0,0,0,1,"20121225","20121225"
"BUSS32-hbc32011-Weekday-02",1,1,1,1,1,0,0,"20120813","20120831"
"BUSS32-hbc32026-Saturday-02",0,0,0,0,0,1,0,"20120818","20120825"
"BUSS32-hbc32017-Sunday-02",0,0,0,0,0,0,1,"20120819","20120826"
"BUSS42-hbc42016-Saturday-02",0,0,0,0,0,1,0,"20120901","20121222"
"BUSS42-hbc42017-Sunday-02",0,0,0,0,0,0,1,"20120902","20121223"
"BUSS42-hbc42hl7-Sunday-02",0,0,0,0,0,0,1,"20120903","20121225"
"BUSS42-hbc42011-Weekday-02",1,1,1,1,1,0,0,"20120904","20121221"
"BUSS42-hbc42tp6-Saturday-02",0,0,0,0,0,1,0,"20121008","20121008"
"BUSS42-hbc42ns1-Weekday-02",1,1,1,1,1,0,0,"20121112","20121228"
"BUSN32-hbg32011-Weekday-02",1,1,1,1,1,0,0,"20120813","20120831"
"BUSN32-hbg32016-Saturday-02",0,0,0,0,0,1,0,"20120818","20120825"
"BUSN32-hbg32017-Sunday-02",0,0,0,0,0,0,1,"20120819","20120826"
"BUSN42-hbg42016-Saturday-02",0,0,0,0,0,1,0,"20120901","20121222"
