"service_id","date","exception_type"
"BUSS42-hba42011-Weekday-02","20121008",2
"BUSS42-hba42011-Weekday-02","20121112",2
"BUSS42-hba42011-Weekday-02","20121122",2
"BUSS42-hba42011-Weekday-02","20121123",2
"BUSS42-hba42ns1-Weekday-02","20121113",2
"BUSS42-hba42ns1-Weekday-02","20121114",2
"BUSS42-hba42ns1-Weekday-02","20121115",2
"BUSS42-hba42ns1-Weekday-02","20121116",2
"BUSS42-hba42ns1-Weekday-02","20121119",2
"BUSS42-hba42ns1-Weekday-02","20121120",2
"BUSS42-hba42ns1-Weekday-02","20121121",2
"BUSS42-hba42ns1-Weekday-02","20121122",2
"BUSS42-hba42ns1-Weekday-02","20121126",2
"BUSS42-hba42ns1-Weekday-02","20121127",2
"BUSS42-hba42ns1-Weekday-02","20121128",2
"BUSS42-hba42ns1-Weekday-02","20121129",2
"BUSS42-hba42ns1-Weekday-02","20121130",2
"BUSS42-hba42ns1-Weekday-02","20121203",2
"BUSS42-hba42ns1-Weekday-02","20121204",2
"BUSS42-hba42ns1-Weekday-02","20121205",2
"BUSS42-hba42ns1-Weekday-02","20121206",2
"BUSS42-hba42ns1-Weekday-02","20121207",2
"BUSS42-hba42ns1-Weekday-02","20121210",2
"BUSS42-hba42ns1-Weekday-02","20121211",2
"BUSS42-hba42ns1-Weekday-02","20121212",2
"BUSS42-hba42ns1-Weekday-02","20121213",2
"BUSS42-hba42ns1-Weekday-02","20121214",2
"BUSS42-hba42ns1-Weekday-02","20121217",2
"BUSS42-hba42ns1-Weekday-02","20121218",2
"BUSS42-hba42ns1-Weekday-02","20121219",2
"BUSS42-hba42ns1-Weekday-02","20121220",2
"BUSS42-hba42ns1-Weekday-02","20121221",2
"BUSS42-hba42ns1-Weekday-02","20121225",2
"BUSS42-hbb42hl7-Sunday-02","20120909",2
"BUSS42-hbb42hl7-Sunday-02","20120916",2
"BUSS42-hbb42hl7-Sunday-02","20120923",2
"BUSS42-hbb42hl7-Sunday-02","20120930",2
"BUSS42-hbb42hl7-Sunday-02","20121007",2
"BUSS42-hbb42hl7-Sunday-02","20121014",2
"BUSS42-hbb42hl7-Sunday-02","20121021",2
"BUSS42-hbb42hl7-Sunday-02","20121028",2
"BUSS42-hbb42hl7-Sunday-02","20121104",2
"BUSS42-hbb42hl7-Sunday-02","20121111",2
"BUSS42-hbb42hl7-Sunday-02","20121118",2
"BUSS42-hbb42hl7-Sunday-02","20121125",2
"BUSS42-hbb42hl7-Sunday-02","20121202",2
"BUSS42-hbb42hl7-Sunday-02","20121209",2
"BUSS42-hbb42hl7-Sunday-02","20121216",2
"BUSS42-hbb42hl7-Sunday-02","20121223",2
"BUSS42-hbb42hl7-Sunday-02","20120903",1
"BUSS42-hbb42hl7-Sunday-02","20121122",1
"BUSS42-hbb42hl7-Sunday-02","20121225",1
"BUSS42-hbb42011-Weekday-02","20121008",2
"BUSS42-hbb42011-Weekday-02","20121112",2
"BUSS42-hbb42011-Weekday-02","20121122",2
"BUSS42-hbb42011-Weekday-02","20121123",2
"BUSS42-hbb42hl6-Saturday-02","20121008",1
"BUSS42-hbb42ns1-Weekday-02","20121113",2
"BUSS42-hbb42ns1-Weekday-02","20121114",2
"BUSS42-hbb42ns1-Weekday-02","20121115",2
"BUSS42-hbb42ns1-Weekday-02","20121116",2
"BUSS42-hbb42ns1-Weekday-02","20121119",2
"BUSS42-hbb42ns1-Weekday-02","20121120",2
"BUSS42-hbb42ns1-Weekday-02","20121121",2
"BUSS42-hbb42ns1-Weekday-02","20121122",2
"BUSS42-hbb42ns1-Weekday-02","20121126",2
"BUSS42-hbb42ns1-Weekday-02","20121127",2
"BUSS42-hbb42ns1-Weekday-02","20121128",2
"BUSS42-hbb42ns1-Weekday-02","20121129",2
"BUSS42-hbb42ns1-Weekday-02","20121130",2
"BUSS42-hbb42ns1-Weekday-02","20121203",2
"BUSS42-hbb42ns1-Weekday-02","20121204",2
"BUSS42-hbb42ns1-Weekday-02","20121205",2
"BUSS42-hbb42ns1-Weekday-02","20121206",2
"BUSS42-hbb42ns1-Weekday-02","20121207",2
"BUSS42-hbb42ns1-Weekday-02","20121210",2
"BUSS42-hbb42ns1-Weekday-02","20121211",2
"BUSS42-hbb42ns1-Weekday-02","20121212",2
"BUSS42-hbb42ns1-Weekday-02","20121213",2
"BUSS42-hbb42ns1-Weekday-02","20121214",2
"BUSS42-hbb42ns1-Weekday-02","20121217",2
"BUSS42-hbb42ns1-Weekday-02","20121218",2
"BUSS42-hbb42ns1-Weekday-02","20121219",2
"BUSS42-hbb42ns1-Weekday-02","20121220",2
"BUSS42-hbb42ns1-Weekday-02","20121221",2
"BUSS42-hbb42ns1-Weekday-02","20121225",2
"BUSN42-htt42011-Weekday-02","20121008",2
"BUSN42-htt42011-Weekday-02","20121112",2
"BUSN42-htt42011-Weekday-02","20121122",2
"BUSN42-htt42011-Weekday-02","20121123",2
"BUSN42-htt42hl6-Saturday-02","20121008",1
"BUSN42-htt42ns1-Weekday-02","20121113",2
"BUSN42-htt42ns1-Weekday-02","20121114",2
"BUSN42-htt42ns1-Weekday-02","20121115",2
"BUSN42-htt42ns1-Weekday-02","20121116",2
"BUSN42-htt42ns1-Weekday-02","20121119",2
"BUSN42-htt42ns1-Weekday-02","20121120",2
"BUSN42-htt42ns1-Weekday-02","20121121",2
"BUSN42-htt42ns1-Weekday-02","20121122",2
"BUSN42-htt42ns1-Weekday-02","20121126",2
"BUSN42-htt42ns1-Weekday-02","20121127",2
"BUSN42-htt42ns1-Weekday-02","20121128",2
"BUSN42-htt42ns1-Weekday-02","20121129",2
"BUSN42-htt42ns1-Weekday-02","20121130",2
"BUSN42-htt42ns1-Weekday-02","20121203",2
"BUSN42-htt42ns1-Weekday-02","20121204",2
"BUSN42-htt42ns1-Weekday-02","20121205",2
"BUSN42-htt42ns1-Weekday-02","20121206",2
"BUSN42-htt42ns1-Weekday-02","20121207",2
"BUSN42-htt42ns1-Weekday-02","20121210",2
"BUSN42-htt42ns1-Weekday-02","20121211",2
"BUSN42-htt42ns1-Weekday-02","20121212",2
"BUSN42-htt42ns1-Weekday-02","20121213",2
"BUSN42-htt42ns1-Weekday-02","20121214",2
"BUSN42-htt42ns1-Weekday-02","20121217",2
"BUSN42-htt42ns1-Weekday-02","20121218",2
"BUSN42-htt42ns1-Weekday-02","20121219",2
"BUSN42-htt42ns1-Weekday-02","20121220",2
"BUSN42-htt42ns1-Weekday-02","20121221",2
