"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"place-alfcl","","Alewife Station","","42.395428","-71.142483","","",1,""
"place-alsgr","","Allston St. Station","","42.348701","-71.137955","","",1,""
"place-andrw","","Andrew Station","","42.330154","-71.057655","","",1,""
"place-aport","","Airport Station","","42.374262","-71.030395","","",1,""
"place-aqucl","","Aquarium Station","","42.359784","-71.051652","","",1,""
"place-armnl","","Arlington Station","","42.351902","-71.070893","","",1,""
"place-asmnl","","Ashmont Station","","42.284652","-71.064489","","",1,""
"place-babck","","Babcock St. Station","","42.35182","-71.12165","","",1,""
"place-bbsta","","Back Bay Station","","42.34735","-71.075727","","",1,""
"place-bckhl","","Back of the Hill Station","","42.330139","-71.111313","","",1,""
"place-bcnfd","","Beaconsfield Station","","42.335846","-71.140823","","",1,""
"place-bcnwa","","Washington Sq. Station","","42.339394","-71.13533","","",1,""
"place-bland","","Blandford St. Station","","42.349293","-71.100258","","",1,""
"place-bmmnl","","Beachmont Station","","42.39754234","-70.99231944","","",1,""
"place-bndhl","","Brandon Hall Station","","42.340023","-71.129082","","",1,""
"place-bomnl","","Bowdoin Station","","42.361365","-71.062037","","",1,""
"place-boyls","","Boylston Station","","42.35302","-71.06459","","",1,""
"place-brdwy","","Broadway Station","","42.342622","-71.056967","","",1,""
"place-brico","","Packards Corner Station","","42.351967","-71.125031","","",1,""
"place-brkhl","","Brookline Hills Station","","42.331333","-71.126999","","",1,""
"place-brmnl","","Brigham Circle Station","","42.334229","-71.104609","","",1,""
"place-brntn","","Braintree Station","","42.2078543","-71.0011385","","",1,""
"place-bucen","","Boston Univ. Central Station","","42.350082","-71.106865","","",1,""
"place-buest","","Boston Univ. East Station","","42.349735","-71.103889","","",1,""
"place-butlr","","Butler Station","","42.272343","-71.062584","","",1,""
"place-buwst","","Boston Univ. West Station","","42.350941","-71.113876","","",1,""
"place-bvmnl","","Brookline Village Station","","42.332774","-71.116296","","",1,""
"place-capst","","Capan St. Station","","42.267712","-71.087753","","",1,""
"place-ccmnl","","Community College Station","","42.373622","-71.069533","","",1,""
"place-cedgr","","Cedar Grove Station","","42.279682","-71.060432","","",1,""
"place-cenav","","Central Ave. Station","","42.270027","-71.073334","","",1,""
"place-chhil","","Chestnut Hill Station","","42.326653","-71.165314","","",1,""
"place-chill","","Chestnut Hill Ave. Station","","42.338169","-71.15316","","",1,""
"place-chmnl","","Charles/MGH Station","","42.361166","-71.070628","","",1,""
"place-chncl","","Chinatown Station","","42.352547","-71.062752","","",1,""
"place-chswk","","Chiswick Rd. Station","","42.340805","-71.150711","","",1,""
"place-clmnl","","Cleveland Circle Station","","42.336142","-71.149326","","",1,""
"place-cntsq","","Central Square Station","","42.365486","-71.103802","","",1,""
"place-coecl","","Copley Station","","42.349974","-71.077447","","",1,""
"place-cool","","Coolidge Corner Station","","42.342213","-71.121201","","",1,""
"place-crtst","","Court House Station","","42.35245","-71.04685","","",1,""
"place-davis","","Davis Station","","42.39674","-71.121815","","",1,""
"place-denrd","","Dean Rd. Station","","42.337807","-71.141853","","",1,""
"place-dwnxg","","Downtown Crossing Station","","42.355518","-71.060225","","",1,""
"place-eliot","","Eliot Station","","42.319023","-71.216713","","",1,""
"place-engav","","Englewood Ave. Station","","42.336971","-71.14566","","",1,""
"place-fbkst","","Fairbanks St. Station","","42.339725","-71.131073","","",1,""
"place-fenwd","","Fenwood Rd. Station","","42.333706","-71.105728","","",1,""
"place-fenwy","","Fenway Station","","42.345394","-71.104187","","",1,""
"place-fldcr","","Fields Corner Station","","42.300093","-71.061667","","",1,""
"place-forhl","","Forest Hills Station","","42.300523","-71.113686","","",1,""
"place-gover","","Government Center Station","","42.359705","-71.059215","","",1,""
"place-grigg","","Griggs St. Station","","42.348545","-71.134949","","",1,""
"place-grnst","","Green St. Station","","42.310525","-71.107414","","",1,""
"place-haecl","","Haymarket Station","","42.363021","-71.05829","","",1,""
"place-harsq","","Harvard Square Station","","42.373362","-71.118956","","",1,""
"place-harvd","","Harvard Ave. Station","","42.350243","-71.131355","","",1,""
"place-hsmnl","","Heath St. Station","","42.328681","-71.110559","","",1,""
"place-hwsst","","Hawes St. Station","","42.344906","-71.111145","","",1,""
"place-hymnl","","Hynes Convention Center Station","","42.347888","-71.087903","","",1,""
"place-jaksn","","Jackson Square Station","","42.323132","-71.099592","","",1,""
"place-jfk","","JFK/UMass Station","","42.320685","-71.052391","","",1,""
"place-kencl","","Kenmore Station","","42.348949","-71.095169","","",1,""
"place-knncl","","Kendall/MIT Station","","42.36249079","-71.08617653","","",1,""
"place-kntst","","Kent St. Station","","42.344074","-71.114197","","",1,""
"place-lake","","Boston College Station","","42.340081","-71.166769","","",1,""
"place-lech","","Lechmere Station","","42.370772","-71.076536","","",1,""
"place-lngmd","","Longwood Medical Area Station","","42.33596","-71.100052","","",1,""
"place-longw","","Longwood Station","","42.341145","-71.110451","","",1,""
"place-masta","","Massachusetts Ave. Station","","42.341512","-71.083423","","",1,""
"place-matt","","Mattapan Station","","42.267762","-71.092241","","",1,""
"place-mfa","","Museum of Fine Arts Station","","42.337711","-71.095512","","",1,""
"place-miltt","","Milton Station","","42.270306","-71.067673","","",1,""
"place-mispk","","Mission Park Station","","42.333195","-71.109756","","",1,""
"place-mlmnl","","Malden Center Station","","42.426632","-71.07411","","",1,""
"place-mvbcl","","Maverick Station","","42.36911856","-71.03952958","","",1,""
"place-newtn","","Newton Highlands Station","","42.321735","-71.206116","","",1,""
"place-newto","","Newton Centre Station","","42.329391","-71.192429","","",1,""
"place-north","","North Station","","42.365577","-71.06129","","",1,""
"place-nqncy","","North Quincy Station","","42.275275","-71.029583","","",1,""
"place-nuniv","","Northeastern University Station","","42.340401","-71.088806","","",1,""
"place-ogmnl","","Oak Grove Station","","42.43668","-71.071097","","",1,""
"place-orhte","","Orient Heights Station","","42.386867","-71.004736","","",1,""
"place-pktrm","","Park St. Station","","42.35639457","-71.0624242","","",1,""
"place-plsgr","","Pleasant St. Station","","42.351521","-71.118889","","",1,""
